date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-02-28,10705.81,10875.71,10828.73,10656.36,186638944.0,21.2,0.2,10770.71,10531.359,10773.274,171891308.8,159470362.4,173845233.2
2018-02-27,10898.29,10915.36,10807.53,10791.95,195932768.0,-88.03,-0.81,10691.346,10473.183,10812.216,154580008.0,159342959.2,175050047.6
2018-02-26,10731.31,10920.21,10895.56,10670.17,200183504.0,232.77,2.18,10602.326,10430.191,10849.602,143826923.2,159437423.2,173962847.6
2018-02-23,10667.81,10700.11,10662.79,10578.79,140530848.0,3.85,0.04,10481.59,10424.26,10880.478,132789454.4,154289594.4,173007413.2
2018-02-22,10547.81,10667.8,10658.94,10526.98,136170480.0,227.03,2.18,10349.278,10450.497,10912.152,143397553.6,158699165.6,175152334.8
2018-02-14,10381.16,10433.09,10431.91,10319.15,100082440.0,69.48,0.67,10292.008,10471.037,10945.201,147049416.0,167563984.8,176124316.4
2018-02-13,10367.68,10486.81,10362.43,10350.17,142167344.0,70.55,0.69,10255.02,10543.814,10988.804,164105910.4,177035236.8,181795990.4
2018-02-12,10059.86,10325.68,10291.88,10059.86,144996160.0,290.65,2.91,10258.056,10635.449,11040.028,175047923.2,178615827.2,184330794.4
2018-02-09,10096.47,10172.78,10001.23,9868.83,193571344.0,-371.36,-3.58,10366.93,10741.533,11090.807,175789734.4,184082819.2,188302672.8
2018-02-08,10219.39,10411.2,10372.59,10219.21,154429792.0,125.62,1.23,10551.716,10897.192,11163.845,174000777.6,182286859.2,187925179.2
2018-02-07,10563.31,10599.54,10246.97,10173.66,185364912.0,-130.64,-1.26,10650.066,11015.189,11218.425,188078553.6,188220104.0,189698585.6
2018-02-06,10603.53,10685.16,10377.61,10377.61,196877408.0,-458.64,-4.23,10832.608,11151.249,11277.931,189964563.2,190757136.0,190247475.2
2018-02-05,10761.08,10873.24,10836.25,10741.85,148705216.0,-88.91,-0.81,11012.842,11269.013,11331.405,182183731.2,188488272.0,189607696.8
2018-02-02,10794.13,10933.15,10925.16,10663.54,184626560.0,60.82,0.56,11116.136,11336.696,11358.728,192375904.0,191725232.0,192352639.2
2018-02-01,11145.41,11171.36,10864.34,10836.35,224818672.0,-295.34,-2.65,11242.668,11373.807,11379.613,190572940.8,191605504.0,192518818.4
